Interest Code,Occupation
RIC,"Geological Technicians, Except Hydrologic Technicians"
RI,Manufacturing Engineers
RA,Museum Technicians and Conservators
RCI,Nanotechnology Engineering Technologists and Technicians
RIC,Radio Frequency Identification Device Specialists
RIE,Range Managers
RI,Remote Sensing Scientists and Technologists
RIC,Remote Sensing Technicians
RI,Solar Energy Systems Engineers
RCI,Surveyors
RI,Transportation Engineers
RCE,Transportation Inspectors
RIE,Wind Energy Engineers
RSI,Anesthesiologist Assistants
RSI,Oral and Maxillofacial Surgeons
SR,Adapted Physical Education Specialists
IR,Animal Scientists
ERI,Architectural and Engineering Managers
SRI,Athletic Trainers
IRC,Computer and Information Research Scientists
IR,Cytotechnologists
IRE,Environmental Restoration Planners
IR,"Geoscientists, Except Hydrologists and Geographers"
IR,Human Factors Engineers and Ergonomists
IRA,"Medical Scientists, Except Epidemiologists"
SR,Midwives
IRS,Nurse Anesthetists
SRI,Orthotists and Prosthetists
IR,Physicists
IR,Soil and Plant Scientists
IR,Veterinarians
